"_airbyte_ab_id","_airbyte_emitted_at","_airbyte_data"
"c2e5f591-5642-4274-9014-d347989259f4","1736128107000","{""Pre-Evolution Pokemon Id"":null,""Egg Cycle Count"":20,""Primary Type"":""\""Grass\"""",""Special Defense Stat"":65,""Original Pokemon ID"":null,""Alternate Form Name"":null,""Special Event Ability Description"":null,""Pokedex Number"":1,""Male Ratio"":87.5,""Secondary Type"":""\""Poison\"""",""EV Yield Total"":1,""Experience Growth"":""\""Medium Slow\"""",""Attack Stat"":49,""Attack EV"":0,""Health Stat"":45,""Secondary Ability Description"":null,""Special Defense EV"":0,""Health EV"":0,""Secondary Ability"":null,""Speed Stat"":45,""Female Ratio"":12.5,""Base Happiness"":50,""Pokemon Weight"":6.9,""Defense EV"":0,""Special Attack Stat"":65,""Pokemon Id"":1,""Speed EV"":0,""Secondary Egg Group"":""\""Grass\"""",""Special Attack EV"":1,""Base Stat Total"":318,""Pokemon Name"":""\""Bulbasaur\"""",""Hidden Ability Description"":""\""Boosts the Pokémon's Speed stat in harsh sunlight.\"""",""Legendary Type"":null,""Experience Growth Total"":1059860,""Catch Rate"":45,""Hidden Ability"":""\""Chlorophyll\"""",""Special Event Ability"":null,""Defense Stat"":49,""Game(s) of Origin"":""\""Red\"""",""Classification"":""\""Seed Pokémon\"""",""Primary Egg Group"":""\""Monster\"""",""Evolution Details"":null,""Pokemon Height"":0.7,""Primary Ability Description"":""\""Powers up Grass-type moves when the Pokémon's HP is low.\"""",""Primary Ability"":""\""Overgrow\""""}"
"e7fbd0db-ffa0-4760-a92c-df7f91c6ec9c","1736128107000","{""Pre-Evolution Pokemon Id"":1,""Egg Cycle Count"":20,""Primary Type"":""\""Grass\"""",""Special Defense Stat"":80,""Original Pokemon ID"":null,""Alternate Form Name"":null,""Special Event Ability Description"":null,""Pokedex Number"":2,""Male Ratio"":87.5,""Secondary Type"":""\""Poison\"""",""EV Yield Total"":2,""Experience Growth"":""\""Medium Slow\"""",""Attack Stat"":62,""Attack EV"":0,""Health Stat"":60,""Secondary Ability Description"":null,""Special Defense EV"":1,""Health EV"":0,""Secondary Ability"":null,""Speed Stat"":60,""Female Ratio"":12.5,""Base Happiness"":50,""Pokemon Weight"":13,""Defense EV"":0,""Special Attack Stat"":80,""Pokemon Id"":2,""Speed EV"":0,""Secondary Egg Group"":""\""Grass\"""",""Special Attack EV"":1,""Base Stat Total"":405,""Pokemon Name"":""\""Ivysaur\"""",""Hidden Ability Description"":""\""Boosts the Pokémon's Speed stat in harsh sunlight.\"""",""Legendary Type"":null,""Experience Growth Total"":1059860,""Catch Rate"":45,""Hidden Ability"":""\""Chlorophyll\"""",""Special Event Ability"":null,""Defense Stat"":63,""Game(s) of Origin"":""\""Red\"""",""Classification"":""\""Seed Pokémon\"""",""Primary Egg Group"":""\""Monster\"""",""Evolution Details"":""\""Level 16\"""",""Pokemon Height"":1,""Primary Ability Description"":""\""Powers up Grass-type moves when the Pokémon's HP is low.\"""",""Primary Ability"":""\""Overgrow\""""}"
"75b3c6da-5686-42be-81ea-d6d09fa58683","1736128107000","{""Pre-Evolution Pokemon Id"":2,""Egg Cycle Count"":20,""Primary Type"":""\""Grass\"""",""Special Defense Stat"":100,""Original Pokemon ID"":null,""Alternate Form Name"":null,""Special Event Ability Description"":null,""Pokedex Number"":3,""Male Ratio"":87.5,""Secondary Type"":""\""Poison\"""",""EV Yield Total"":3,""Experience Growth"":""\""Medium Slow\"""",""Attack Stat"":82,""Attack EV"":0,""Health Stat"":80,""Secondary Ability Description"":null,""Special Defense EV"":1,""Health EV"":0,""Secondary Ability"":null,""Speed Stat"":80,""Female Ratio"":12.5,""Base Happiness"":50,""Pokemon Weight"":100,""Defense EV"":0,""Special Attack Stat"":100,""Pokemon Id"":3,""Speed EV"":0,""Secondary Egg Group"":""\""Grass\"""",""Special Attack EV"":2,""Base Stat Total"":525,""Pokemon Name"":""\""Venusaur\"""",""Hidden Ability Description"":""\""Boosts the Pokémon's Speed stat in harsh sunlight.\"""",""Legendary Type"":null,""Experience Growth Total"":1059860,""Catch Rate"":45,""Hidden Ability"":""\""Chlorophyll\"""",""Special Event Ability"":null,""Defense Stat"":83,""Game(s) of Origin"":""\""Red\"""",""Classification"":""\""Seed Pokémon\"""",""Primary Egg Group"":""\""Monster\"""",""Evolution Details"":""\""Level 32\"""",""Pokemon Height"":2,""Primary Ability Description"":""\""Powers up Grass-type moves when the Pokémon's HP is low.\"""",""Primary Ability"":""\""Overgrow\""""}"
"22be98f8-42d4-4c96-8541-7f6a466a1e96","1736128107000","{""Pre-Evolution Pokemon Id"":null,""Egg Cycle Count"":20,""Primary Type"":""\""Grass\"""",""Special Defense Stat"":120,""Original Pokemon ID"":3,""Alternate Form Name"":""\""Mega\"""",""Special Event Ability Description"":null,""Pokedex Number"":3,""Male Ratio"":87.5,""Secondary Type"":""\""Poison\"""",""EV Yield Total"":3,""Experience Growth"":""\""Medium Slow\"""",""Attack Stat"":100,""Attack EV"":0,""Health Stat"":80,""Secondary Ability Description"":null,""Special Defense EV"":1,""Health EV"":0,""Secondary Ability"":null,""Speed Stat"":80,""Female Ratio"":12.5,""Base Happiness"":70,""Pokemon Weight"":155.5,""Defense EV"":0,""Special Attack Stat"":122,""Pokemon Id"":4,""Speed EV"":0,""Secondary Egg Group"":""\""Grass\"""",""Special Attack EV"":2,""Base Stat Total"":625,""Pokemon Name"":""\""Venusaur\"""",""Hidden Ability Description"":null,""Legendary Type"":null,""Experience Growth Total"":1059860,""Catch Rate"":45,""Hidden Ability"":null,""Special Event Ability"":null,""Defense Stat"":123,""Game(s) of Origin"":""\""X\"""",""Classification"":""\""Seed Pokémon\"""",""Primary Egg Group"":""\""Monster\"""",""Evolution Details"":null,""Pokemon Height"":2.4,""Primary Ability Description"":""\""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.\"""",""Primary Ability"":""\""Thick Fat\""""}"
"2b5edc23-02d8-48f6-a4c5-f22190088b11","1736128107000","{""Pre-Evolution Pokemon Id"":null,""Egg Cycle Count"":20,""Primary Type"":""\""Grass\"""",""Special Defense Stat"":100,""Original Pokemon ID"":3,""Alternate Form Name"":""\""Gigantamax\"""",""Special Event Ability Description"":null,""Pokedex Number"":3,""Male Ratio"":87.5,""Secondary Type"":""\""Poison\"""",""EV Yield Total"":3,""Experience Growth"":""\""Medium Slow\"""",""Attack Stat"":82,""Attack EV"":0,""Health Stat"":80,""Secondary Ability Description"":null,""Special Defense EV"":1,""Health EV"":0,""Secondary Ability"":null,""Speed Stat"":80,""Female Ratio"":12.5,""Base Happiness"":50,""Pokemon Weight"":0,""Defense EV"":0,""Special Attack Stat"":100,""Pokemon Id"":1526,""Speed EV"":0,""Secondary Egg Group"":""\""Grass\"""",""Special Attack EV"":2,""Base Stat Total"":525,""Pokemon Name"":""\""Venusaur\"""",""Hidden Ability Description"":""\""Boosts the Pokémon's Speed stat in harsh sunlight.\"""",""Legendary Type"":null,""Experience Growth Total"":1059860,""Catch Rate"":45,""Hidden Ability"":""\""Chlorophyll\"""",""Special Event Ability"":null,""Defense Stat"":83,""Game(s) of Origin"":""\""Sword\"""",""Classification"":""\""Seed Pokémon\"""",""Primary Egg Group"":""\""Monster\"""",""Evolution Details"":null,""Pokemon Height"":24,""Primary Ability Description"":""\""Powers up Grass-type moves when the Pokémon's HP is low.\"""",""Primary Ability"":""\""Overgrow\""""}"
"e8d95627-4d90-45c4-9e2e-46df8f616d89","1736128107000","{""Pre-Evolution Pokemon Id"":null,""Egg Cycle Count"":20,""Primary Type"":""\""Fire\"""",""Special Defense Stat"":50,""Original Pokemon ID"":null,""Alternate Form Name"":null,""Special Event Ability Description"":null,""Pokedex Number"":4,""Male Ratio"":87.5,""Secondary Type"":null,""EV Yield Total"":1,""Experience Growth"":""\""Medium Slow\"""",""Attack Stat"":52,""Attack EV"":0,""Health Stat"":39,""Secondary Ability Description"":null,""Special Defense EV"":0,""Health EV"":0,""Secondary Ability"":null,""Speed Stat"":65,""Female Ratio"":12.5,""Base Happiness"":50,""Pokemon Weight"":8.5,""Defense EV"":0,""Special Attack Stat"":60,""Pokemon Id"":5,""Speed EV"":1,""Secondary Egg Group"":""\""Dragon\"""",""Special Attack EV"":0,""Base Stat Total"":309,""Pokemon Name"":""\""Charmander\"""",""Hidden Ability Description"":""\""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.\"""",""Legendary Type"":null,""Experience Growth Total"":1059860,""Catch Rate"":45,""Hidden Ability"":""\""Solar Power\"""",""Special Event Ability"":null,""Defense Stat"":43,""Game(s) of Origin"":""\""Red\"""",""Classification"":""\""Lizard Pokémon\"""",""Primary Egg Group"":""\""Monster\"""",""Evolution Details"":null,""Pokemon Height"":0.6,""Primary Ability Description"":""\""Powers up Fire-type moves when the Pokémon's HP is low.\"""",""Primary Ability"":""\""Blaze\""""}"
"39609abd-fddf-4f84-8e99-e0276d1cdbbe","1736128107000","{""Pre-Evolution Pokemon Id"":5,""Egg Cycle Count"":20,""Primary Type"":""\""Fire\"""",""Special Defense Stat"":65,""Original Pokemon ID"":null,""Alternate Form Name"":null,""Special Event Ability Description"":null,""Pokedex Number"":5,""Male Ratio"":87.5,""Secondary Type"":null,""EV Yield Total"":2,""Experience Growth"":""\""Medium Slow\"""",""Attack Stat"":64,""Attack EV"":0,""Health Stat"":58,""Secondary Ability Description"":null,""Special Defense EV"":0,""Health EV"":0,""Secondary Ability"":null,""Speed Stat"":80,""Female Ratio"":12.5,""Base Happiness"":50,""Pokemon Weight"":19,""Defense EV"":0,""Special Attack Stat"":80,""Pokemon Id"":6,""Speed EV"":1,""Secondary Egg Group"":""\""Dragon\"""",""Special Attack EV"":1,""Base Stat Total"":405,""Pokemon Name"":""\""Charmeleon\"""",""Hidden Ability Description"":""\""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.\"""",""Legendary Type"":null,""Experience Growth Total"":1059860,""Catch Rate"":45,""Hidden Ability"":""\""Solar Power\"""",""Special Event Ability"":null,""Defense Stat"":58,""Game(s) of Origin"":""\""Red\"""",""Classification"":""\""Flame Pokémon\"""",""Primary Egg Group"":""\""Monster\"""",""Evolution Details"":""\""Level 16\"""",""Pokemon Height"":1.1,""Primary Ability Description"":""\""Powers up Fire-type moves when the Pokémon's HP is low.\"""",""Primary Ability"":""\""Blaze\""""}"
"7202dd13-ce6e-45e5-96c8-3a2badd0d8a3","1736128107000","{""Pre-Evolution Pokemon Id"":6,""Egg Cycle Count"":20,""Primary Type"":""\""Fire\"""",""Special Defense Stat"":85,""Original Pokemon ID"":null,""Alternate Form Name"":null,""Special Event Ability Description"":null,""Pokedex Number"":6,""Male Ratio"":87.5,""Secondary Type"":""\""Flying\"""",""EV Yield Total"":3,""Experience Growth"":""\""Medium Slow\"""",""Attack Stat"":84,""Attack EV"":0,""Health Stat"":78,""Secondary Ability Description"":null,""Special Defense EV"":0,""Health EV"":0,""Secondary Ability"":null,""Speed Stat"":100,""Female Ratio"":12.5,""Base Happiness"":50,""Pokemon Weight"":90.5,""Defense EV"":0,""Special Attack Stat"":109,""Pokemon Id"":7,""Speed EV"":0,""Secondary Egg Group"":""\""Dragon\"""",""Special Attack EV"":3,""Base Stat Total"":534,""Pokemon Name"":""\""Charizard\"""",""Hidden Ability Description"":""\""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.\"""",""Legendary Type"":null,""Experience Growth Total"":1059860,""Catch Rate"":45,""Hidden Ability"":""\""Solar Power\"""",""Special Event Ability"":null,""Defense Stat"":78,""Game(s) of Origin"":""\""Red\"""",""Classification"":""\""Flame Pokémon\"""",""Primary Egg Group"":""\""Monster\"""",""Evolution Details"":""\""Level 36\"""",""Pokemon Height"":1.7,""Primary Ability Description"":""\""Powers up Fire-type moves when the Pokémon's HP is low.\"""",""Primary Ability"":""\""Blaze\""""}"
"0266fac9-065c-4d64-bf88-dcd4d451ff8c","1736128107000","{""Pre-Evolution Pokemon Id"":null,""Egg Cycle Count"":20,""Primary Type"":""\""Fire\"""",""Special Defense Stat"":85,""Original Pokemon ID"":7,""Alternate Form Name"":""\""Mega X\"""",""Special Event Ability Description"":null,""Pokedex Number"":6,""Male Ratio"":87.5,""Secondary Type"":""\""Dragon\"""",""EV Yield Total"":3,""Experience Growth"":""\""Medium Slow\"""",""Attack Stat"":130,""Attack EV"":0,""Health Stat"":78,""Secondary Ability Description"":null,""Special Defense EV"":0,""Health EV"":0,""Secondary Ability"":null,""Speed Stat"":100,""Female Ratio"":12.5,""Base Happiness"":70,""Pokemon Weight"":110.5,""Defense EV"":0,""Special Attack Stat"":130,""Pokemon Id"":8,""Speed EV"":0,""Secondary Egg Group"":""\""Dragon\"""",""Special Attack EV"":3,""Base Stat Total"":634,""Pokemon Name"":""\""Charizard\"""",""Hidden Ability Description"":null,""Legendary Type"":null,""Experience Growth Total"":1059860,""Catch Rate"":45,""Hidden Ability"":null,""Special Event Ability"":null,""Defense Stat"":111,""Game(s) of Origin"":""\""X\"""",""Classification"":""\""Flame Pokémon\"""",""Primary Egg Group"":""\""Monster\"""",""Evolution Details"":null,""Pokemon Height"":1.7,""Primary Ability Description"":""\""Powers up moves that make direct contact.\"""",""Primary Ability"":""\""Tough Claws\""""}"
"d6a4fe12-469e-4632-8bb0-916b3a31d786","1736128107000","{""Pre-Evolution Pokemon Id"":null,""Egg Cycle Count"":20,""Primary Type"":""\""Fire\"""",""Special Defense Stat"":115,""Original Pokemon ID"":7,""Alternate Form Name"":""\""Mega Y\"""",""Special Event Ability Description"":null,""Pokedex Number"":6,""Male Ratio"":87.5,""Secondary Type"":""\""Flying\"""",""EV Yield Total"":3,""Experience Growth"":""\""Medium Slow\"""",""Attack Stat"":104,""Attack EV"":0,""Health Stat"":78,""Secondary Ability Description"":null,""Special Defense EV"":0,""Health EV"":0,""Secondary Ability"":null,""Speed Stat"":100,""Female Ratio"":12.5,""Base Happiness"":70,""Pokemon Weight"":100.5,""Defense EV"":0,""Special Attack Stat"":159,""Pokemon Id"":9,""Speed EV"":0,""Secondary Egg Group"":""\""Dragon\"""",""Special Attack EV"":3,""Base Stat Total"":634,""Pokemon Name"":""\""Charizard\"""",""Hidden Ability Description"":null,""Legendary Type"":null,""Experience Growth Total"":1059860,""Catch Rate"":45,""Hidden Ability"":null,""Special Event Ability"":null,""Defense Stat"":78,""Game(s) of Origin"":""\""X\"""",""Classification"":""\""Flame Pokémon\"""",""Primary Egg Group"":""\""Monster\"""",""Evolution Details"":null,""Pokemon Height"":1.7,""Primary Ability Description"":""\""Turns the sunlight harsh when the Pokémon enters a battle.\"""",""Primary Ability"":""\""Drought\""""}"
